index, result, benchmark, correct
0, 2, 2, correct
1, 0, 0, correct
2, 9, 9, correct
3, 9, 4, miss
4, 3, 2, miss
5, 7, 7, correct
6, 0, 0, correct
7, 3, 3, correct
8, 0, 0, correct
9, 3, 3, correct
10, 5, 5, correct
11, 7, 7, correct
12, 4, 4, correct
13, 0, 0, correct
14, 4, 4, correct
15, 3, 3, correct
16, 3, 3, correct
17, 1, 1, correct
18, 9, 9, correct
19, 0, 0, correct
20, 9, 9, correct
21, 1, 1, correct
22, 1, 1, correct
23, 5, 5, correct
24, 7, 7, correct
25, 4, 4, correct
26, 2, 2, correct
27, 7, 7, correct
28, 7, 9, miss
29, 7, 7, correct
30, 7, 7, correct
31, 5, 5, correct
32, 4, 4, correct
33, 2, 2, correct
34, 6, 6, correct
35, 2, 2, correct
36, 5, 5, correct
37, 5, 5, correct
38, 1, 1, correct
39, 6, 6, correct
40, 7, 7, correct
41, 7, 7, correct
42, 4, 4, correct
43, 9, 9, correct
44, 8, 8, correct
45, 7, 7, correct
46, 8, 8, correct
47, 2, 2, correct
48, 6, 6, correct
49, 1, 7, miss
50, 6, 6, correct
51, 8, 8, correct
52, 8, 8, correct
53, 3, 3, correct
54, 8, 8, correct
55, 2, 2, correct
56, 1, 1, correct
57, 2, 2, correct
58, 1, 2, miss
59, 0, 5, miss
60, 9, 4, miss
61, 1, 1, correct
62, 7, 7, correct
63, 0, 0, correct
64, 0, 0, correct
65, 0, 0, correct
66, 1, 1, correct
67, 9, 9, correct
68, 0, 0, correct
69, 1, 1, correct
70, 6, 6, correct
71, 5, 5, correct
72, 8, 8, correct
73, 8, 8, correct
74, 2, 2, correct
75, 8, 8, correct
76, 3, 8, miss
77, 9, 9, correct
78, 2, 2, correct
79, 3, 3, correct
80, 5, 5, correct
81, 9, 4, miss
82, 1, 1, correct
83, 0, 0, correct
84, 9, 9, correct
85, 2, 2, correct
86, 4, 4, correct
87, 3, 3, correct
88, 6, 6, correct
89, 7, 7, correct
90, 2, 2, correct
91, 0, 0, correct
92, 6, 6, correct
93, 6, 6, correct
94, 1, 1, correct
95, 4, 4, correct
96, 3, 3, correct
97, 9, 9, correct
98, 7, 7, correct
99, 4, 4, correct
100, 0, 0, correct
101, 8, 3, miss
102, 2, 2, correct
103, 0, 0, correct
104, 7, 7, correct
105, 3, 3, correct
106, 0, 0, correct
107, 5, 5, correct
108, 0, 0, correct
109, 9, 3, miss
110, 0, 0, correct
111, 0, 0, correct
112, 4, 4, correct
113, 7, 7, correct
114, 1, 1, correct
115, 7, 7, correct
116, 1, 1, correct
117, 1, 1, correct
118, 3, 5, miss
119, 3, 3, correct
120, 3, 3, correct
121, 7, 7, correct
122, 2, 2, correct
123, 8, 8, correct
