DBN,Number of Test Takers,NUMBER OF CLASSES.max,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF CLASSES.min,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF CLASSES.mean,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg)
M292,31,9.0,210.0,29.3,28.0,34.0,1.0,9.0,9.0,9.0,9.0,2.9411764705882355,61.38235294117647,19.158823529411762,16.264705882352942,22.41176470588235,12.7,1.0,2.16,D,40.0,5.0,F,13.3,C,21.7,F,0.0,B,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M448,60,11.0,283.0,32.5,32.0,34.0,1.0,22.0,15.5,10.0,16.0,3.7096774193548385,81.87096774193549,22.906451612903222,18.870967741935484,27.032258064516128,13.2,1.0,2.24,C,47.8,5.2,F,11.4,D,31.2,C,0.0,D,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M450,69,9.0,172.0,28.0,28.0,28.0,1.0,6.0,6.0,6.0,6.0,3.026315789473684,54.71052631578947,18.773684210526312,17.55263157894737,20.0,12.6,1.0,2.42,A,84.0,13.5,A,22.6,A,38.9,B,9.0,A,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M539,47,15.0,393.0,31.5,31.0,34.0,1.0,10.0,10.0,10.0,10.0,6.65625,158.4375,23.287499999999994,18.65625,26.34375,17.0,1.0,3.55,B,67.2,8.1,C,23.7,A,35.4,B,0.0,A,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M696,138,20.0,400.0,22.5,22.0,24.0,1.0,18.0,17.7,13.0,18.0,8.538461538461538,166.46153846153845,19.47692307692308,16.076923076923077,21.692307692307693,15.4,1.0,3.81,B,60.9,11.4,A,16.5,B,33.0,C,0.0,B,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M047,11,3.0,45.0,23.0,23.0,23.0,1.0,12.0,11.5,11.0,12.0,1.4166666666666667,22.083333333333332,15.820833333333333,15.5,16.166666666666668,,2.0,1.67,A,76.6,11.1,A,15.6,B,49.9,A,0.0,A,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823
M288,50,8.0,166.0,33.0,33.0,33.0,1.0,12.0,12.0,11.0,12.0,2.5925925925925926,58.7037037037037,23.48888888888889,21.40740740740741,25.85185185185185,13.0,2.0,2.44,A,83.9,9.7,B,21.3,A,43.9,A,9.0,A,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823
M294,51,10.0,183.0,19.7,18.0,25.0,1.0,10.0,10.0,10.0,10.0,3.1875,50.4375,14.825,12.5625,17.3125,12.0,2.0,2.28,A,84.2,11.8,A,23.0,A,43.4,A,6.0,A,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823
M296,43,8.0,226.0,30.0,30.0,32.0,1.0,11.0,11.0,11.0,11.0,3.5652173913043477,86.65217391304348,23.691304347826087,19.565217391304348,26.73913043478261,14.5,2.0,2.28,A,85.3,10.2,B,20.7,A,52.9,A,1.5,A,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823
M298,71,5.0,111.0,33.0,33.0,33.0,1.0,16.0,14.8,10.0,16.0,2.576923076923077,59.96153846153846,23.684615384615384,20.807692307692307,25.76923076923077,15.2,2.0,2.82,A,90.9,10.2,B,21.5,A,47.2,A,12.0,A,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823
